Unnamed: 0,pokedex_number,name,german_name,japanese_name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate,egg_type_number,egg_type_1,egg_type_2,percentage_male,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,sprite_size,sprite_perimeter,sprite_perimeter_to_size_ratio,sprite_red_mean,sprite_green_mean,sprite_blue_mean,sprite_brightness_mean,sprite_red_sd,sprite_green_sd,sprite_blue_sd,sprite_brightness_sd,sprite_overflow_vertical,sprite_overflow_horizontal
278,227,Skarmory,Panzaeron,エアームド (Airmd),2,Normal,Armor Bird Pokémon,2,Steel,Flying,1.7,50.5,3,Keen Eye,Sturdy,Weak Armor,465,65,80,140,40,70,70,25,50,163,Slow,1,Flying,,50.0,25,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5,322,104.0,0.32298136645962733,0.4706734867860188,0.4714042138594568,0.5047984411155766,0.48229204725368413,0.2681543150397394,0.27094868659989985,0.3060856087057567,0.27321976806887033,0.0,0.0
279,228,Houndour,Hunduster,デルビル (Delvil),2,Normal,Dark Pokémon,2,Dark,Fire,0.6,10.8,3,Early Bird,Flash Fire,Unnerve,330,45,60,30,80,50,65,120,35,66,Slow,1,Field,,50.0,20,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,234,62.0,0.26495726495726496,0.45206971677559915,0.41902128372716607,0.3982403217697336,0.4231104407574996,0.2692069563327625,0.23807111676996848,0.2418390177592846,0.23853607885799846,0.0,0.0
280,229,Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,2,Dark,Fire,1.4,35.0,3,Early Bird,Flash Fire,Unnerve,500,75,90,50,110,80,95,45,35,175,Slow,1,Field,,50.0,20,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,254,91.0,0.35826771653543305,0.4704184035819052,0.44304461942257223,0.42385363594256603,0.4457722196490145,0.2980445506724155,0.27571339598622535,0.28043401933632556,0.27570738397363864,0.0,0.0
281,229,Mega Houndoom,Hundemon,ヘルガー (Hellgar),2,Normal,Dark Pokémon,2,Dark,Fire,1.9,49.5,1,Solar Power,,,600,75,90,90,140,90,115,45,35,210,Slow,1,Field,,50.0,20,1.0,0.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0,336,131.0,0.3898809523809524,0.46339869281045754,0.43011204481792714,0.42113678804855276,0.4382158418923125,0.31503321245465615,0.293178182575328,0.2937649554811149,0.292759029875257,0.0,0.0
282,230,Kingdra,Seedraking,キングドラ (Kingdra),2,Normal,Dragon Pokémon,2,Water,Dragon,1.8,152.0,3,Swift Swim,Sniper,Damp,540,75,95,95,95,95,85,45,50,243,Medium Fast,2,Dragon,Water 1,50.0,20,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,224,77.0,0.34375,0.3665266106442577,0.47312675070028015,0.5425070028011204,0.460720121381886,0.209767221436967,0.25741157640589724,0.3359356540388076,0.24131284210467838,0.0,0.0
283,231,Phanpy,Phanpy,ゴマゾウ (Gomazou),2,Normal,Long Nose Pokémon,1,Ground,,0.5,33.5,2,Pickup,,Sand Veil,330,90,60,60,40,40,40,120,50,66,Medium Fast,1,Field,,50.0,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,204,46.0,0.22549019607843138,0.4480584390618993,0.5593810073048828,0.6467512495194156,0.5513968986287326,0.2124234604580856,0.26863052073261806,0.33563476550888255,0.24913235422966826,0.0,0.0
284,232,Donphan,Donphan,ドンファン (Donfan),2,Normal,Armor Pokémon,1,Ground,,1.1,120.0,2,Sturdy,,Sand Veil,500,90,120,120,60,60,50,60,50,175,Medium Fast,1,Field,,50.0,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,431,81.0,0.18793503480278423,0.44536645284563947,0.47428233474364223,0.5192575406032482,0.47963544273084335,0.19363453374427889,0.21973157993487014,0.25557824366341175,0.22083907378991782,0.0,0.0
285,233,Porygon2,Porygon2,ポリゴン２ (Porygon2),2,Normal,Virtual Pokémon,1,Normal,,0.6,32.5,3,Trace,Download,Analytic,515,85,80,90,105,95,60,45,50,180,Medium Fast,1,Mineral,,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,196,64.0,0.32653061224489793,0.539735894357743,0.4207883153261304,0.5102841136454582,0.49026944110977727,0.3138749582696025,0.2547522014890968,0.3219659874765312,0.2634627864619638,0.0,0.0
286,234,Stantler,Damhirplex,オドシシ (Odoshishi),2,Normal,Big Horn Pokémon,1,Normal,,1.4,71.2,3,Intimidate,Frisk,Sap Sipper,465,73,95,62,85,65,85,45,50,163,Slow,1,Field,,50.0,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,281,91.0,0.3238434163701068,0.5552996999511548,0.46730863163770847,0.377852208499058,0.46682018002930714,0.3127200551468095,0.2587394079427664,0.16268251560698627,0.23705175643095378,0.0,0.0
287,235,Smeargle,Farbeagle,ドーブル (Doble),2,Normal,Painter Pokémon,1,Normal,,1.2,58.0,3,Own Tempo,Technician,Moody,250,55,20,35,20,45,75,45,50,88,Fast,1,Field,,50.0,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,283,90.0,0.31802120141342755,0.5598697429501835,0.5172867733665903,0.4154091318506202,0.4975218827224648,0.32758237754863273,0.3168873106565453,0.23997679798179258,0.28771981418443526,0.0,0.0
288,236,Tyrogue,Rabauz,バルキー (Balkie),2,Normal,Scuffle Pokémon,1,Fighting,,0.7,21.0,3,Guts,Steadfast,Vital Spirit,210,35,35,35,35,35,35,75,50,42,Medium Fast,1,Undiscovered,,100.0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,188,53.0,0.28191489361702127,0.4752190237797247,0.40477680433875685,0.4459324155193993,0.44197608121262694,0.36465651747407885,0.3141754775693326,0.3701188208861657,0.3456531674296214,0.0,0.0
289,237,Hitmontop,Kapoera,カポエラー (Kapoerer),2,Normal,Handstand Pokémon,1,Fighting,,1.4,48.0,3,Intimidate,Technician,Steadfast,455,50,95,95,35,110,70,45,50,159,Medium Fast,1,Human-Like,,100.0,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,515,145.0,0.2815533980582524,0.39773843517989715,0.396542927850752,0.389583095374072,0.39462148613490705,0.3187536206324157,0.29764698983764704,0.32918107497941923,0.296406144161785,0.0,0.0
290,238,Smoochum,Kussilla,ムチュール (Muchul),2,Normal,Kiss Pokémon,2,Ice,Psychic,0.4,6.0,3,Oblivious,Forewarn,Hydration,305,45,30,15,85,65,65,45,50,61,Medium Fast,1,Undiscovered,,0.0,25,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0,199,50.0,0.25125628140703515,0.65555227115972,0.5577495319735934,0.45129569415705983,0.5548658324301244,0.3239456982133356,0.3260194427852389,0.2056248761494263,0.26274304892754596,0.0,0.0
291,239,Elekid,Elekid,エレキッド (Elekid),2,Normal,Electric Pokémon,1,Electric,,0.6,23.5,2,Static,,Vital Spirit,360,45,63,37,65,55,95,45,50,72,Medium Fast,1,Undiscovered,,75.0,25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,242,63.0,0.2603305785123967,0.6100469940042132,0.5509803921568628,0.22386971317452603,0.4616323664452007,0.3515368060935968,0.3080629077618375,0.19281042271117563,0.23273927981592396,0.0,0.0
292,240,Magby,Magby,ブビィ (Buby),2,Normal,Live Coal Pokémon,1,Fire,,0.7,21.4,2,Flame Body,,Vital Spirit,365,45,75,37,70,55,83,45,50,73,Medium Fast,1,Undiscovered,,75.0,25,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,212,54.0,0.25471698113207547,0.6471328153903072,0.41472438031816505,0.3862375138734739,0.4826982365273154,0.34270136941750423,0.22750379636109275,0.18153959993188612,0.23157105063079939,0.0,0.0
293,241,Miltank,Miltank,ミルタンク (Miltank),2,Normal,Milk Cow Pokémon,1,Normal,,1.2,75.5,3,Thick Fat,Scrappy,Sap Sipper,490,95,80,105,40,70,100,45,50,172,Slow,1,Field,,0.0,20,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,285,64.0,0.22456140350877193,0.5848090815273478,0.4896319229446164,0.4858892328861369,0.520110079119367,0.3246773852205729,0.2440659496299591,0.22986457086113335,0.25957948784300705,0.0,0.0
294,242,Blissey,Heiteira,ハピナス (Happinas),2,Normal,Happiness Pokémon,1,Normal,,1.5,46.8,3,Natural Cure,Serene Grace,Healer,540,255,10,10,75,135,55,30,140,635,Fast,1,Fairy,,0.0,40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,330,64.0,0.19393939393939394,0.6683184789067144,0.5580867498514558,0.5816161616161617,0.602673796791444,0.33397292464001727,0.2839325698419136,0.28834475967253276,0.29268309128832176,0.0,0.0
295,243,Raikou,Raikou,ライコウ (Raikou),2,Sub Legendary,Thunder Pokémon,1,Electric,,1.9,178.0,2,Pressure,,Inner Focus,580,90,85,75,115,100,115,3,35,261,Slow,1,Undiscovered,,,80,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,407,106.0,0.26044226044226043,0.506556824203883,0.4784121019415136,0.45081659199306257,0.47859517271281976,0.2993456103234997,0.2587693609397382,0.3015090443094873,0.24814002670150953,0.0,0.0
296,244,Entei,Entei,エンテイ (Entei),2,Sub Legendary,Volcano Pokémon,1,Fire,,2.1,198.0,2,Pressure,,Inner Focus,580,115,115,85,90,75,100,3,35,261,Slow,1,Undiscovered,,,80,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,394,86.0,0.2182741116751269,0.552572907335523,0.4654026077436051,0.377087687867025,0.4650210676487177,0.27481630043432465,0.25181600961605527,0.2468247522327072,0.22075768429921935,0.0,0.0
297,245,Suicune,Suicune,スイクン (Suicune),2,Sub Legendary,Aurora Pokémon,1,Water,,2.0,187.0,2,Pressure,,Inner Focus,580,100,75,115,90,115,85,3,35,261,Slow,1,Undiscovered,,,80,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,415,97.0,0.23373493975903614,0.43051263879045587,0.4732813607370659,0.5809496810772502,0.4949145602015907,0.2292100284533135,0.2621092529520353,0.2913503717204917,0.24284455514783584,0.0,0.0
298,246,Larvitar,Larvitar,ヨーギラス (Yogiras),2,Normal,Rock Skin Pokémon,2,Rock,Ground,0.6,72.0,2,Guts,,Sand Veil,300,50,64,50,45,50,41,45,35,60,Slow,1,Monster,,50.0,40,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,177,46.0,0.2598870056497175,0.42616594660463053,0.5479561316051844,0.30614822200066466,0.4267567667368266,0.29372123418230767,0.39362448131728756,0.2107082746373468,0.29136922761041306,0.0,0.0
299,247,Pupitar,Pupitar,サナギラス (Sanagiras),2,Normal,Hard Shell Pokémon,2,Rock,Ground,1.2,152.0,1,Shed Skin,,,410,70,84,70,65,70,51,45,35,144,Slow,1,Monster,,50.0,40,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0,199,51.0,0.2562814070351759,0.41832692876145433,0.42926396689329,0.5015469504384669,0.4497126153644037,0.301849277960068,0.3146382263287667,0.3782596976091437,0.33086588623767127,0.0,0.0
300,248,Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,2,Rock,Dark,2.0,202.0,2,Sand Stream,,Unnerve,600,100,134,110,95,100,61,45,35,300,Slow,1,Monster,,50.0,40,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,686,138.0,0.20116618075801748,0.5017892871434289,0.584673869547819,0.3659292288343909,0.48413079517521296,0.3059352152361104,0.37110187826064994,0.22494391197646182,0.29450463758678785,0.008928571428571428,0.0
301,248,Mega Tyranitar,Despotar,バンギラス (Bangiras),2,Normal,Armor Pokémon,2,Rock,Dark,2.5,255.0,1,Sand Stream,,,700,100,164,150,95,120,71,45,35,315,Slow,1,Monster,,50.0,40,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,425,121.0,0.2847058823529412,0.4030357554786621,0.4598016147635525,0.2680507497116494,0.37696270665128795,0.18508184349356385,0.23919061735287006,0.0996888315320539,0.16073180207569174,0.017857142857142856,0.0
302,249,Lugia,Lugia,ルギア (Lugia),2,Legendary,Diving Pokémon,2,Psychic,Flying,5.2,216.0,2,Pressure,,Multiscale,680,106,90,130,90,154,110,3,0,306,Slow,1,Undiscovered,,,120,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,473,129.0,0.2727272727272727,0.6162003067611823,0.631828545371637,0.69007171578991,0.6460335226409099,0.35152658951637566,0.34542530659508736,0.35507205518555324,0.3431061839132269,0.0,0.0
303,250,Ho-oh,Ho-Oh,ホウオウ (Houou),2,Legendary,Rainbow Pokémon,2,Fire,Flying,3.8,199.0,2,Pressure,,Regenerator,680,106,130,90,110,154,90,3,0,306,Slow,1,Undiscovered,,,120,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,442,108.0,0.24434389140271492,0.6110726643598616,0.48969922810753264,0.3535888563570225,0.4847869162748055,0.31644330247016983,0.2932917695243252,0.27273192243873867,0.2530791534393037,0.026785714285714284,0.0
304,251,Celebi,Celebi,セレビィ (Celebi),2,Mythical,Time Travel Pokémon,2,Psychic,Grass,0.6,5.0,1,Natural Cure,,,600,100,100,100,100,100,100,45,100,270,Medium Slow,1,Undiscovered,,,120,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0,167,49.0,0.2934131736526946,0.4327580133849947,0.5119643066807561,0.371351414817424,0.43869124496105827,0.35890159116248416,0.40319733138124253,0.3221107617668167,0.3512559275494007,0.0,0.0
305,252,Treecko,Geckarbor,キモリ (Kimori),3,Normal,Wood Gecko Pokémon,1,Grass,,0.5,5.0,2,Overgrow,,Unburden,310,40,45,35,65,55,70,45,50,62,Medium Slow,2,Dragon,Monster,87.5,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,229,83.0,0.3624454148471616,0.4031338299511945,0.47533179210548854,0.2602620087336245,0.3795758769301025,0.23658134068847447,0.2738943278040458,0.09655253915112819,0.1706301880362122,0.0,0.0
306,253,Grovyle,Reptain,ジュプトル (Juptile),3,Normal,Wood Gecko Pokémon,1,Grass,,0.9,21.6,2,Overgrow,,Unburden,405,50,65,45,85,65,95,45,50,142,Medium Slow,2,Dragon,Monster,87.5,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,301,116.0,0.3853820598006645,0.3125920135496059,0.40779102338609863,0.2781708032050029,0.3328512800469025,0.17722417486006012,0.22642525301782973,0.10202757619905975,0.139882574046001,0.0,0.0
307,254,Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,1,Grass,,1.7,52.2,2,Overgrow,,Unburden,530,70,85,65,105,85,120,45,50,239,Medium Slow,2,Dragon,Monster,87.5,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,362,102.0,0.281767955801105,0.36874661466796665,0.49315350449572104,0.33183837070739897,0.3979128299570289,0.19294216572767137,0.2671176988531933,0.12668719286299218,0.1754784748785122,0.0,0.0
308,254,Mega Sceptile,Gewaldro,ジュカイン (Jukain),3,Normal,Forest Pokémon,2,Grass,Dragon,1.9,55.2,1,Lightning Rod,,,630,70,110,75,145,85,145,45,50,284,Medium Slow,2,Dragon,Monster,87.5,20,1.0,1.0,0.25,0.0,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,497,139.0,0.2796780684104628,0.34147630883339253,0.42965242435002177,0.30574032429873355,0.3589563524940493,0.17777733153098443,0.23512022468343846,0.10385292827256364,0.14964509365640846,0.0,0.0
309,255,Torchic,Flemmli,アチャモ (Achamo),3,Normal,Chick Pokémon,1,Fire,,0.4,2.5,2,Blaze,,Speed Boost,310,45,60,40,70,50,45,45,50,62,Medium Slow,1,Field,,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,168,45.0,0.26785714285714285,0.6708916900093371,0.4669000933706816,0.21897759103641454,0.4522564581388111,0.33835563889009507,0.24822420974545822,0.102975033654252,0.19550959881794377,0.0,0.0
310,256,Combusken,Jungglut,ワカシャモ (Wakasyamo),3,Normal,Young Fowl Pokémon,2,Fire,Fighting,0.9,19.5,2,Blaze,,Speed Boost,405,60,85,60,85,60,55,45,50,142,Medium Slow,1,Field,,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,278,83.0,0.29856115107913667,0.6614896318239526,0.5292848074481591,0.3401184934405417,0.5102976442375512,0.3477396450300623,0.3077289361804449,0.16271165847874422,0.258178336916359,0.0,0.0
311,257,Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,2,Blaze,,Speed Boost,530,80,120,70,110,70,80,45,50,239,Medium Slow,1,Field,,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,358,93.0,0.25977653631284914,0.6226749917844233,0.462580786504546,0.33684960017526566,0.4740351261547449,0.32803696007541727,0.2713704319180412,0.18558782585763609,0.2352032499541606,0.0,0.0
312,257,Mega Blaziken,Lohgock,バシャーモ (Bursyamo),3,Normal,Blaze Pokémon,2,Fire,Fighting,1.9,52.0,1,Speed Boost,,,630,80,160,80,130,80,100,45,50,284,Medium Slow,1,Field,,87.5,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0,437,152.0,0.34782608695652173,0.6254946829990579,0.4506304123480056,0.3419571947772244,0.4726940967080959,0.30827940261064884,0.2623294625619227,0.20324669585825678,0.22748362312454118,0.0,0.0
313,258,Mudkip,Hydropi,ミズゴロウ (Mizugorou),3,Normal,Mud Fish Pokémon,1,Water,,0.4,7.6,2,Torrent,,Damp,310,50,70,50,50,50,40,45,50,62,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,191,49.0,0.25654450261780104,0.43693665948054616,0.5410943434965609,0.606426444923519,0.5281524826335421,0.24787930109840475,0.2755560913497863,0.3604246133972285,0.2584537061347658,0.0,0.0
314,259,Marshtomp,Moorabbel,ヌマクロー (Numacraw),3,Normal,Mud Fish Pokémon,2,Water,Ground,0.7,28.0,2,Torrent,,Damp,405,70,85,70,60,70,50,45,50,142,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,239,58.0,0.24267782426778242,0.4093034703421117,0.5141685125933219,0.47967839855607514,0.46771679383050285,0.22347541030245108,0.2847136015543041,0.2518694556212797,0.2208345101539351,0.0,0.0
315,260,Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,2,Water,Ground,1.5,81.9,2,Torrent,,Damp,535,100,110,90,85,90,60,45,50,241,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,423,108.0,0.2553191489361702,0.387363834422658,0.43687943262411344,0.4969359847958096,0.44039308394752696,0.19873974874575934,0.20808254341772828,0.2977854720623882,0.20094650565567307,0.0,0.0
316,260,Mega Swampert,Sumpex,ラグラージ (Laglarge),3,Normal,Mud Fish Pokémon,2,Water,Ground,1.9,102.0,1,Swift Swim,,,635,100,150,110,95,110,70,45,50,286,Medium Slow,2,Monster,Water 1,87.5,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,513,91.0,0.17738791423001948,0.4057944425333487,0.41814012154569435,0.4402094561021289,0.42138134006039063,0.19835410634472495,0.17750001405541538,0.21391902333608143,0.16007539390404846,0.0,0.0
317,261,Poochyena,Fiffyen,ポチエナ (Pochiena),3,Normal,Bite Pokémon,1,Dark,,0.5,13.6,3,Run Away,Quick Feet,Rattled,220,35,55,35,30,30,35,255,50,56,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,223,60.0,0.26905829596412556,0.4656467071133386,0.45637914358568543,0.4591576540930274,0.4603945015973505,0.2416856504842399,0.23637378815210464,0.24960127627430892,0.23767168176377557,0.0,0.0
318,262,Mightyena,Magnayen,グラエナ (Graena),3,Normal,Bite Pokémon,1,Dark,,1.0,37.0,3,Intimidate,Quick Feet,Moxie,420,70,90,70,60,60,70,127,50,147,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,299,82.0,0.27424749163879597,0.4421404682274247,0.4356613548429405,0.4347301462390976,0.4375106564364876,0.22104616465352303,0.21674750435382775,0.22399646280362373,0.21531193347163552,0.0,0.0
319,263,Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,TinyRaccoon Pokémon,1,Normal,,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,50,56,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,217,54.0,0.2488479262672811,0.43822174030902683,0.39291587602783057,0.348152164091443,0.39309659347610015,0.32608754616464686,0.30103146063175257,0.2766780320351216,0.2997511918515066,0.0,0.0
320,263,Galarian Zigzagoon,Zigzachs,ジグザグマ (Jiguzaguma),3,Normal,Tiny Raccoon Pokémon,2,Dark,Normal,0.4,17.5,3,Pickup,Gluttony,Quick Feet,240,38,30,41,30,41,60,255,50,56,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,223,56.0,0.25112107623318386,0.4421876373867933,0.43699991207245226,0.43786160203991914,0.43901638383305486,0.3705219044239107,0.36716878480385096,0.3677567268120783,0.3680138880442609,0.0,0.0
321,264,Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,1,Normal,,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,50,147,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,253,59.0,0.233201581027668,0.5732155312717973,0.5253041928233743,0.5079593892893125,0.5354930377948282,0.3646851057058562,0.3412922959311007,0.35661107738777803,0.3521527039155281,0.0,0.0
322,264,Galarian Linoone,Geradaks,マッスグマ (Massuguma),3,Normal,Rushing Pokémon,2,Dark,Normal,0.5,32.5,3,Pickup,Gluttony,Quick Feet,420,78,70,61,50,61,100,90,50,147,Medium Fast,1,Field,,50.0,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0,259,61.0,0.23552123552123552,0.4693012340071164,0.46068589598001364,0.46300249829661594,0.46432987609458204,0.3691911987661188,0.3663372858087359,0.36612418918960093,0.36600733370350386,0.0,0.0
323,265,Wurmple,Waumpel,ケムッソ (Kemusso),3,Normal,Worm Pokémon,1,Bug,,0.3,3.6,2,Shield Dust,,Run Away,195,45,45,35,20,30,20,255,50,56,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,185,55.0,0.2972972972972973,0.640127186009539,0.47561208267090616,0.40510863804981456,0.5069493022434199,0.33440993325966734,0.2814138808880559,0.20021644172128833,0.24903506518066532,0.0,0.0
324,266,Silcoon,Schaloko,カラサリス (Karasalis),3,Normal,Cocoon Pokémon,1,Bug,,0.6,10.0,1,Shed Skin,,,205,50,35,55,25,25,15,120,50,72,Medium Fast,1,Bug,,50.0,15,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,244,63.0,0.2581967213114754,0.6265027322404372,0.6422854387656701,0.6510286081645774,0.6399389263902284,0.3110269198198854,0.3189641657499888,0.32176720855224256,0.3153169160043434,0.0,0.0
